Country,City,Area Code
US,Alabama,205; 251; 256; 334; 938
US,Alaska,907
US,Arizona,480; 520; 602; 623; 928
US,Arkansas,479; 501; 870
US,California,209; 213; 279; 310; 323; 408; 415; 424; 442; 510; 530; 559; 562; 619; 626; 628; 650; 657; 661; 669; 707; 714; 747; 760; 805; 818; 820; 831; 858; 909; 916; 925; 949; 951
US,Colorado,303; 719; 720; 970
US,Connecticut,203; 475; 860; 959
US,Delaware,302
US,Florida,239; 305; 321; 352; 386; 407; 561; 727; 754; 772; 786; 813; 850; 863; 904; 941; 954
US,Georgia,229; 404; 470; 478; 678; 706; 762; 770; 912
US,Hawaii,808
US,Idaho,208; 986
US,Illinois,217; 224; 309; 312; 331; 618; 630; 708; 773; 779; 815; 847; 872
US,Indiana,219; 260; 317; 463; 574; 765; 812; 930
US,Iowa,319; 515; 563; 641; 712
US,Kansas,316; 620; 785; 913
US,Kentucky,270; 364; 502; 606; 859
US,Louisiana,225; 318; 337; 504; 985
US,Maine,207
US,Maryland,240; 301; 410; 443; 667
US,Massachusetts,339; 351; 413; 508; 617; 774; 781; 857; 978
US,Michigan,231; 248; 269; 313; 517; 586; 616; 734; 810; 906; 947; 989
US,Minnesota,218; 320; 507; 612; 651; 763; 952
US,Mississippi,228; 601; 662; 769
US,Missouri,314; 417; 573; 636; 660; 816
US,Montana,406
US,Nebraska,308; 402; 531
US,Nevada,702; 725; 775
US,New Hampshire,603
US,New Jersey,201; 551; 609; 640; 732; 848; 856; 862; 908; 973
US,New Mexico,505; 575
US,New York,212; 315; 332; 347; 516; 518; 585; 607; 631; 646; 680; 716; 718; 838; 845; 914; 917; 929; 934
US,North Carolina,252; 336; 704; 743; 828; 910; 919; 980; 984
US,North Dakota,701
US,Ohio,216; 220; 234; 330; 380; 419; 440; 513; 567; 614; 740; 937
US,Oklahoma,405; 539; 580; 918
US,Oregon,458; 503; 541; 971
US,Pennsylvania,215; 223; 267; 272; 412; 445; 484; 570; 610; 717; 724; 814; 878
US,Rhode Island,401
US,South Carolina,803; 843; 854; 864
US,South Dakota,605
US,Tennessee,423; 615; 629; 731; 865; 901; 931
US,Texas,210; 214; 254; 281; 325; 346; 361; 409; 430; 432; 469; 512; 682; 713; 726; 737; 806; 817; 830; 832; 903; 915; 936; 940; 956; 972; 979
US,Utah,385; 435; 801
US,Vermont,802
US,Virginia,276; 434; 540; 571; 703; 757; 804
US,Washington,206; 253; 360; 425; 509; 564
US,Washington; DC,202
US,West Virginia,304; 681
US,Wisconsin,262; 414; 534; 608; 715; 920
US,Wyoming,307
CAD,Alberta,368; 403; 587; 780; 825
CAD,British Columbia,236; 250; 604; 672; 778
CAD,Manitoba,204; 431
CAD,New Brunswick,506; 428
CAD,Newfoundland and Labrador,709; 879
CAD,Northwest Territories,867
CAD,Nova Scotia,782; 902
CAD,Nunavut,867
CAD,Ontario,226; 249; 289; 343; 365; 416; 437; 519; 548; 613; 647; 705; 807; 905
CAD,Prince Edward Island,782; 902
CAD,Quebec,354; 367; 418; 438; 450; 514; 579; 581; 819; 873
CAD,Saskatchewan,306; 474; 639
CAD,Yukon,867
CAD,Non-Geographic,600; 622
AUS,if starts with 61 and is 11 digits long,61; 
UK,,+44  all
ireland,353,
UK,Leeds,113
UK,Sheffield,114
UK,Nottingham,115
UK,Leicester,116
UK,Bristol,117
UK,Reading,118
UK,Clitheroe,1200
UK,Bournemouth,1202
UK,Bolton,1204
UK,Boston,1205
UK,Colchester,1206
UK,Consett,1207
UK,Bodmin,1208
UK,Redruth,1209
UK,Birmingham,121
UK,Cambridge,1223
UK,Aberdeen,1224
UK,Bath,1225
UK,Barnsley,1226
UK,Canterbury,1227
UK,Carlisle,1228
UK,Barrow-in-Furness,12292
UK,Millom,12293
UK,Barrow-in-Furness,12294
UK,Barrow-in-Furness,12295
UK,Barrow-in-Furness,12296
UK,Millom,12297
UK,Barrow-in-Furness,12298
UK,Millom,12299
UK,Ashford (Kent),1233
UK,Bedford,1234
UK,Abingdon,1235
UK,Coatbridge,1236
UK,Bideford,1237
UK,Cardigan,1239
UK,Arbroath,1241
UK,Cheltenham,1242
UK,Chichester,1243
UK,Chester,1244
UK,Chelmsford,1245
UK,Chesterfield,1246
UK,Bangor (Gwynedd),1248
UK,Chippenham,1249
UK,Blairgowrie,1250
UK,Aldershot,1252
UK,Blackpool,1253
UK,Blackburn,1254
UK,Clacton-on-Sea,1255
UK,Basingstoke,1256
UK,Coppull,1257
UK,Blandford,1258
UK,Alloa,1259
UK,Congleton,1260
UK,Banff,1261
UK,Bridlington,1262
UK,Cromer,1263
UK,Andover,1264
UK,Carmarthen,1267
UK,Basildon,1268
UK,Ammanford,1269
UK,Crewe,1270
UK,Barnstaple,1271
UK,Brighton,1273
UK,Bradford,1274
UK,Clevedon,1275
UK,Camberley,1276
UK,Brentwood,1277
UK,Bridgwater,1278
UK,Bishops Stortford,1279
UK,Buckingham,1280
UK,Burnley,1282
UK,Burton-on-Trent,1283
UK,Bury St Edmunds,1284
UK,Cirencester,1285
UK,Caernarfon,1286
UK,Guisborough,1287
UK,Bude,1288
UK,Berwick-upon-Tweed,1289
UK,Cumnock,1290
UK,Chepstow,1291
UK,Ayr,1292
UK,Crawley,1293
UK,Ardrossan,1294
UK,Banbury,1295
UK,Aylesbury,1296
UK,Axminster,1297
UK,Buxton,1298
UK,Bewdley,1299
UK,Cerne Abbas,1300
UK,Arrochar,1301
UK,Doncaster,1302
UK,Folkestone,1303
UK,Dover,1304
UK,Dorchester,1305
UK,Dorking,1306
UK,Forfar,1307
UK,Bridport,1308
UK,Forres,1309
UK,Edinburgh,131
UK,Fort Augustus,1320
UK,Dartford,1322
UK,Eastbourne,1323
UK,Falkirk,1324
UK,Darlington,1325
UK,Falmouth,1326
UK,Daventry,1327
UK,Fakenham,1328
UK,Fareham,1329
UK,Banchory,1330
UK,Derby,1332
UK,Peat Inn,1333
UK,St Andrews,1334
UK,Ashbourne,1335
UK,Ladybank,1337
UK,Aboyne,13392
UK,Aboyne,13393
UK,Ballater,13394
UK,Aboyne,13395
UK,Ballater,13396
UK,Ballater,13397
UK,Aboyne,13398
UK,Ballater,13399
UK,Craigellachie,1340
UK,Barmouth,1341
UK,East Grinstead,1342
UK,Elgin,1343
UK,Bracknell,1344
UK,Fraserburgh,1346
UK,Easingwold,1347
UK,Fishguard,1348
UK,Dingwall,1349
UK,Dunkeld,1350
UK,Mold,1352
UK,Ely,1353
UK,Chatteris,1354
UK,East Kilbride,1355
UK,Brechin,1356
UK,Strathaven,1357
UK,Ellon,1358
UK,Pakenham,1359
UK,Killearn,1360
UK,Duns,1361
UK,Dereham,1362
UK,Crediton,1363
UK,Ashburton,1364
UK,Downham Market,1366
UK,Faringdon,1367
UK,Dunbar,1368
UK,Dunoon,1369
UK,Great Dunmow,1371
UK,Esher,1372
UK,Frome,1373
UK,Grays Thurrock,1375
UK,Braintree,1376
UK,Driffield,1377
UK,Diss,1379
UK,Devizes,1380
UK,Fortrose,1381
UK,Dundee,1382
UK,Dunfermline,1383
UK,Dudley,1384
UK,Evesham,1386
UK,Dumfries,1387
UK,Langholm,13873
UK,Stanhope,13882
UK,Bishop Auckland,13883
UK,Bishop Auckland,13884
UK,Stanhope,13885
UK,Bishop Auckland,13886
UK,Bishop Auckland,13887
UK,Bishop Auckland,13888
UK,Bishop Auckland,13889
UK,Dumbarton,1389
UK,Exeter,1392
UK,Felixstowe,1394
UK,Budleigh Salterton,1395
UK,Fort William,1397
UK,Dulverton,1398
UK,Honington,1400
UK,Horsham,1403
UK,Honiton,1404
UK,Goole,1405
UK,Holbeach,1406
UK,Holyhead,1407
UK,Golspie,1408
UK,Holsworthy,1409
UK,Glasgow,141
UK,Alton,1420
UK,Halifax,1422
UK,Harrogate,14232
UK,Boroughbridge,14233
UK,Boroughbridge,14234
UK,Harrogate,14235
UK,Harrogate,14236
UK,Harrogate,14237
UK,Harrogate,14238
UK,Boroughbridge,14239
UK,Hastings,1424
UK,Ringwood,1425
UK,Gainsborough,1427
UK,Haslemere,1428
UK,Hartlepool,1429
UK,North Cave,14302
UK,North Cave,14303
UK,North Cave,14304
UK,North Cave,14305
UK,Market Weighton,14306
UK,Market Weighton,14307
UK,Market Weighton,14308
UK,Market Weighton,14309
UK,Helmsdale,1431
UK,Hereford,1432
UK,Hathersage,1433
UK,Bellingham,14342
UK,Haltwhistle,14343
UK,Bellingham,14344
UK,Haltwhistle,14345
UK,Hexham,14346
UK,Hexham,14347
UK,Hexham,14348
UK,Bellingham,14349
UK,Heathfield,1435
UK,Helensburgh,1436
UK,Clynderwen,14372
UK,Clynderwen,14373
UK,Clynderwen,14374
UK,Clynderwen,14375
UK,Haverfordwest,14376
UK,Haverfordwest,14377
UK,Haverfordwest,14378
UK,Haverfordwest,14379
UK,Stevenage,1438
UK,Helmsley,1439
UK,Haverhill,1440
UK,Hemel Hempstead,1442
UK,Pontypridd,1443
UK,Haywards Heath,1444
UK,Gairloch,1445
UK,Barry,1446
UK,Stowmarket,1449
UK,Hawick,1450
UK,Stow-on-the-Wold,1451
UK,Gloucester,1452
UK,Dursley,1453
UK,Chipping Sodbury,1454
UK,Hinckley,1455
UK,Glenurquhart,1456
UK,Glossop,1457
UK,Glastonbury,1458
UK,Chard,1460
UK,Gretna,1461
UK,Hitchin,1462
UK,Inverness,1463
UK,Insch,1464
UK,Girvan,1465
UK,Huntly,1466
UK,Inverurie,1467
UK,Killingholme,1469
UK,Isle of Skye - Edinbane,1470
UK,Isle of Skye - Broadford,1471
UK,Grimsby,1472
UK,Ipswich,1473
UK,Gravesend,1474
UK,Greenock,1475
UK,Grantham,1476
UK,Holmes Chapel,1477
UK,Isle of Skye - Portree,1478
UK,Grantown-on-Spey,1479
UK,Huntingdon,1480
UK,Guernsey,1481
UK,Hull,1482
UK,Guildford,1483
UK,Huddersfield,1484
UK,Hunstanton,1485
UK,Warboys,1487
UK,Hungerford,1488
UK,Bishops Waltham,1489
UK,Corwen,1490
